SRR5860996	col39l3_62
SRR5860997	col39l3_61
SRR5860998	col44l1_42
SRR5860999	col44l1_43
SRR5861000	col44l1_44
SRR5861001	col44l1_45
SRR5861002	col44l1_38
SRR5861003	col44l1_39
SRR5861004	col44l1_40
SRR5861005	col44l1_41
SRR5861006	col44l1_46
SRR5861007	col44l1_47
SRR5861008	col39l1_60
SRR5861009	col39l1_61
SRR5861010	col39l1_58
SRR5861011	col39l1_59
SRR5861012	col39l1_56
SRR5861013	col44l1_49
SRR5861014	col44l1_50
SRR5861015	col39l1_55
SRR5861016	col39l1_62
SRR5861017	col39l1_63
SRR5861018	col40l_7
SRR5861019	col40l_6
SRR5861020	col40l_1
SRR5861021	col39l3_85
SRR5861022	col39l3_84
SRR5861023	col39l3_83
SRR5861024	col40l_5
SRR5861025	col40l_4
SRR5861026	col40l_3
SRR5861027	col40l_2
SRR5861028	col36l_46
SRR5861029	col36l_45
SRR5861030	col36l_48
SRR5861031	col36l_47
SRR5861032	col36l_42
SRR5861033	col36l_41
SRR5861034	col36l_44
SRR5861035	col36l_43
SRR5861036	col36l_50
SRR5861037	col36l_49
SRR5861038	col36l_7
SRR5861039	col44l1_48
SRR5861040	col39l2_64
SRR5861041	col39l2_63
SRR5861042	col39l1_57
SRR5861043	col39l2_61
SRR5861044	col39l2_60
SRR5861045	col39l2_59
SRR5861046	col39l2_58
SRR5861047	col39l2_57
SRR5861048	col39l1_54
SRR5861049	col39l2_66
SRR5861050	col39l2_65
SRR5861051	col38l_40
SRR5861052	col38l_48
SRR5861053	col38l_49
SRR5861054	col36l_3
SRR5861055	col36l_4
SRR5861056	col36l_1
SRR5861057	col36l_2
SRR5861058	col38l_46
SRR5861059	col38l_47
SRR5861060	col38l_44
SRR5861061	col38l_45
SRR5861062	col39l3_71
SRR5861063	col39l3_72
SRR5861064	col39l3_65
SRR5861065	col39l3_66
SRR5861066	col39l3_63
SRR5861067	col39l3_64
SRR5861068	col39l3_69
SRR5861069	col39l3_70
SRR5861070	col39l3_67
SRR5861071	col39l3_68
SRR5861072	col40l_47
SRR5861073	col40l_46
SRR5861074	col40l_45
SRR5861075	col40l_44
SRR5861076	col40l_43
SRR5861077	col40l_42
SRR5861078	col40l_41
SRR5861079	col40l_40
SRR5861080	col40l_39
SRR5861081	col40l_38
SRR5861082	col38l_22
SRR5861083	col38l_23
SRR5861084	col38l_20
SRR5861085	col38l_21
SRR5861086	col38l_26
SRR5861087	col38l_27
SRR5861088	col38l_24
SRR5861089	col38l_25
SRR5861090	col39l3_31
SRR5861091	col39l3_32
SRR5861092	col39l2_73
SRR5861093	col39l2_74
SRR5861094	col39l2_71
SRR5861095	col39l2_72
SRR5861096	col39l2_69
SRR5861097	col39l2_70
SRR5861098	col39l2_67
SRR5861099	col39l2_68
SRR5861100	col44l1_31
SRR5861101	col44l1_30
SRR5861102	col44l1_29
SRR5861103	col44l1_28
SRR5861104	col44l1_35
SRR5861105	col44l1_34
SRR5861106	col44l1_33
SRR5861107	col44l1_32
SRR5861108	col44l1_37
SRR5861109	col44l1_36
SRR5861110	col39l1_49
SRR5861111	col39l1_48
SRR5861112	col39l1_51
SRR5861113	col39l1_50
SRR5861114	col38l_71
