cell_type	putative_driver_count	mean_abs_cnv_score
Pancreatic cells	0	0.043847330768325705
Pancreatic cells	2	0.07227992012505946
Pancreatic cells	0	0.0471974603435873
Liver cells	1	0.05606062213534798
Pancreatic cells	1	0.03906778641556857
Pancreatic cells	1	0.051344223980920194
Liver cells	0	0.04980340663026114
Liver cells	1	0.07008707883269961
Pancreatic cells	3	0.05396153870128057
Liver cells	0	0.0787449530406543
Pancreatic cells	1	0.05193853801346305
Pancreatic cells	2	0.06733436310339469
Liver cells	1	0.06582516034427424
Neutrophils	0	0.06615974104542824
Pancreatic cells	3	0.07186343543998121
Pancreatic cells	1	0.05790058160917449
Neutrophils	0	0.0606821008095394
Pancreatic cells	1	0.053355286498261094
Pancreatic cells	1	0.05067277845093317
Pancreatic cells	3	0.059166628139525286
Pancreatic cells	4	0.056312748224501934
Liver cells	0	0.0655655898553756
Liver cells	0	0.06256482976277451
Liver cells	2	0.06744747355072424
Neutrophils	1	0.06046137859327522
Pancreatic cells	0	0.05311627502488592
Liver cells	2	0.09808377257513202
Liver cells	0	0.06707901016107178
Pancreatic cells	1	0.051503715325896135
Neutrophils	1	0.055637658953154416
Liver cells	0	0.06495390252036101
Liver cells	0	0.04973080165167543
Pancreatic cells	0	0.054219936619794504
Liver cells	0	0.051297009018585873
Pancreatic cells	0	0.06670104065519483
Pancreatic cells	1	0.0798055215889392
Liver cells	0	0.054204040462952796
Neutrophils	0	0.04393410778894896
Liver cells	2	0.055637833763176145
Pancreatic cells	0	0.05234164697031299
Pancreatic cells	3	0.06470695712146164
Pancreatic cells	2	0.05760831248747042
Neutrophils	0	0.0528800197459126
Pancreatic cells	2	0.0499324847120564
Liver cells	0	0.06570441257366205
Pancreatic cells	1	0.051314497310410746
Liver cells	0	0.06256710052893408
Pancreatic cells	1	0.06177117229036428
Pancreatic cells	0	0.0418647790629332
Neutrophils	0	0.047454501429843414
Pancreatic cells	0	0.04574227693431586
Liver cells	0	0.05044876587518963
Liver cells	1	0.07127248348145475
Pancreatic cells	3	0.05755259284435202
Pancreatic cells	0	0.05893259855807503
Neutrophils	0	0.059034884119381695
Pancreatic cells	2	0.058404477826423454
Pancreatic cells	1	0.05738431732437674
Pancreatic cells	1	0.0737278556659488
Liver cells	0	0.06298327678479038
Pancreatic cells	1	0.05187464821919261
Pancreatic cells	1	0.07771717087965781
Pancreatic cells	4	0.05667679525159181
Liver cells	0	0.056920019312947864
Neutrophils	1	0.06811219137914927
Liver cells	2	0.08124975706475059
Fibroblasts	1	0.059188250579210865
Pancreatic cells	2	0.09042205814831203
Liver cells	0	0.059239543213583684
Pancreatic cells	4	0.07188369302380157
Pancreatic cells	1	0.05628188359674349
Liver cells	0	0.069450851161726
Pancreatic cells	0	0.05623040109704341
Pancreatic cells	3	0.09131065346836954
Pancreatic cells	1	0.056476903641716605
Pancreatic cells	1	0.05348721330701163
Pancreatic cells	0	0.055221881494841744
Pancreatic cells	2	0.06083817420479607
Neutrophils	2	0.056384748096456376
Pancreatic cells	2	0.05675799263549623
Liver cells	0	0.0832272667332458
Pancreatic cells	6	0.06613543756658624
Pancreatic cells	1	0.06301393657660834
Liver cells	1	0.058020997748491725
Liver cells	0	0.05720895861797281
Liver cells	0	0.07267681334726796
Pancreatic cells	3	0.05890170117397277
Liver cells	0	0.04585821960288175
Pancreatic cells	2	0.05315211928695871
Fibroblasts	2	0.041566721968261694
Neutrophils	3	0.05808236162548866
Pancreatic cells	3	0.06062100651943454
Pancreatic cells	1	0.06982033793087297
Liver cells	0	0.053236154771796336
Pancreatic cells	4	0.06201813320547937
Pancreatic cells	1	0.06484435014597034
Pancreatic cells	3	0.056581828466426544
Liver cells	1	0.044060454251174934
Pancreatic cells	1	0.047715278446012276
Pancreatic cells	1	0.06918611262984857
Pancreatic cells	0	0.04949596546845808
Liver cells	0	0.052524759384612964
Neutrophils	0	0.048891656853067386
Pancreatic cells	1	0.059861275857407824
Liver cells	2	0.06509448222861973
Neutrophils	0	0.05349615559370449
Pancreatic cells	0	0.0386616199627113
Pancreatic cells	0	0.04472983129230288
Liver cells	1	0.06757875491787689
Liver cells	0	0.0625936206130281
Liver cells	0	0.06049255607013577
Neutrophils	0	0.06368029580340896
Pancreatic cells	1	0.04783386030306145
Liver cells	1	0.0804399697447514
Pancreatic cells	0	0.05392242079261723
Pancreatic cells	1	0.05320374047346879
Liver cells	0	0.07005301266425641
Liver cells	1	0.05943102658162743
Pancreatic cells	2	0.05431022902032075
Pancreatic cells	1	0.06925829164740115
Pancreatic cells	1	0.10051892985178695
