	Patient	Common SNVs
0	PT039	174
1	PT039	1629
2	PT039	13
3	PT039	1998
4	PT039	1459
5	PT039	1275
6	PT039	1677
7	PT039	285
8	PT039	439
9	PT039	1993
10	PT039	1177
11	PT039	2176
12	PT039	1280
13	PT039	1124
14	PT039	309
15	PT039	1728
16	PT039	1436
17	PT039	1059
18	PT039	1690
19	PT039	1144
20	PT039	1833
21	PT039	1667
22	PT039	1773
23	PT039	1163
24	PT039	759
25	PT039	1256
26	PT039	1707
27	PT039	1621
28	PT039	142
29	PT039	217
30	PT039	327
31	PT039	295
32	PT039	1233
33	PT039	429
34	PT039	17
35	PT039	65
36	PT039	798
37	PT039	259
38	PT039	656
39	PT039	400
40	PT039	1218
41	PT039	1013
42	PT039	1624
43	PT039	1147
44	PT039	1812
45	PT039	737
46	PT039	927
47	PT039	1062
48	PT039	698
49	PT039	1346
50	PT039	542
51	PT039	290
52	PT039	586
53	PT039	965
54	PT039	2280
55	PT039	1285
56	PT039	153
57	PT039	774
58	PT039	1806
59	PT039	1483
60	PT039	1228
61	PT039	526
62	PT039	625
63	PT039	1719
64	PT039	1052
65	PT039	267
66	PT039	890
67	PT039	1816
68	PT039	401
69	PT039	522
70	PT039	73
71	PT039	1311
72	PT039	1645
73	PT039	618
74	PT039	1154
75	PT039	824
76	PT039	1544
77	PT039	1101
78	PT039	914
79	PT039	1373
80	PT039	1579
81	PT039	452
82	PT039	1692
83	PT039	1445
84	PT039	399
85	PT039	1577
86	PT039	415
87	PT039	693
88	PT039	1725
89	PT039	2047
90	PT039	1893
91	PT039	210
92	PT039	900
93	PT039	1650
94	PT039	305
95	PT039	168
96	PT039	987
97	PT039	230
98	PT039	833
99	PT039	2205
100	PT039	645
101	PT039	1627
102	PT039	1871
103	PT039	573
104	PT039	541
105	PT039	433
106	PT039	1659
107	PT039	276
108	PT039	1173
109	PT039	892
110	PT039	2065
111	PT039	1020
112	PT039	23
113	PT039	162
114	PT039	536
115	PT039	1072
116	PT039	1623
117	PT039	1872
118	PT039	1399
119	PT039	1994
120	PT039	115
121	PT039	898
122	PT039	1790
123	PT039	401
124	PT039	1468
125	PT039	75
126	PT039	1169
127	PT039	705
128	PT039	1462
129	PT039	222
130	PT039	1522
131	PT039	1581
132	PT039	959
133	PT039	848
134	PT039	974
135	PT039	262
136	PT039	68
137	PT039	185
138	PT039	17
139	PT039	251
140	PT039	903
141	PT039	130
142	PT039	1143
143	PT039	1161
144	PT039	494
145	PT039	382
146	PT039	645
147	PT039	1255
148	PT039	645
149	PT039	1090
150	PT039	473
151	PT039	42
152	PT039	774
153	PT039	897
154	PT039	11
155	PT039	731
156	PT039	476
157	PT039	748
158	PT039	581
159	PT039	653
160	PT039	662
161	PT039	653
162	PT039	1628
163	PT039	1804
164	PT039	3501
165	PT039	4285
166	PT039	1173
167	PT039	781
168	PT039	1142
169	PT039	3543
170	PT039	1587
171	PT039	1385
172	PT039	864
173	PT039	1650
174	PT039	1189
175	PT039	2537
176	PT039	1154
177	PT039	3833
178	PT039	3540
179	PT039	3603
180	PT039	1734
181	PT039	1658
182	PT039	2982
183	PT039	1255
184	PT039	2738
185	PT039	4431
186	PT039	3413
187	PT039	4164
188	PT039	4072
189	PT039	4060
190	PT039	1254
191	PT039	1613
192	PT039	2051
193	PT039	3564
194	PT039	2358
195	PT039	2863
196	PT039	1505
197	PT039	1798
198	PT039	1743
199	PT039	3493
200	PT039	2872
201	PT039	3183
202	PT039	2289
203	PT039	1784
204	PT039	1125
205	PT039	1318
206	PT039	1206
207	PT039	2931
208	PT039	501
209	PT039	3184
210	PT039	1324
211	PT039	779
212	PT039	3842
213	PT039	787
214	PT039	1271
215	PT039	1008
216	PT039	3415
217	PT039	3851
218	PT039	3217
219	PT039	3371
220	PT039	2611
221	PT039	2080
222	PT039	2902
223	PT039	3173
224	PT039	2515
225	PT039	2412
226	PT039	2556
227	PT039	2225
228	PT039	2568
229	PT039	2230
230	PT039	2838
231	PT081	665
232	PT081	596
233	PT081	336
234	PT081	385
235	PT081	486
236	PT081	639
237	PT081	649
238	PT081	467
239	PT081	696
240	PT081	626
241	PT081	651
242	PT081	408
243	PT081	477
244	PT081	341
245	PT081	484
246	PT081	497
247	PT081	531
248	PT081	528
249	PT081	137
250	PT081	662
251	PT081	526
252	PT081	412
253	PT081	7
254	PT081	389
255	PT081	509
256	PT081	158
257	PT081	263
258	PT081	501
259	PT081	635
260	PT081	707
261	PT081	534
262	PT081	378
263	PT081	446
264	PT081	443
265	PT081	219
266	PT081	273
267	PT081	599
268	PT081	516
269	PT081	201
270	PT081	421
271	PT081	553
