cell_type	splice_variant_count
CRC	56
CRC	126
CRC	54
CRC	36
CRC	21
CRC	93
CRC	117
CRC	32
CRC	29
CRC	20
CRC	32
CRC	64
CRC	45
CRC	101
CRC	10
CRC	59
CRC	144
CRC	31
CRC	61
CRC	70
CRC	25
CRC	69
CRC	13
CRC	99
CRC	31
CRC	99
CRC	51
CRC	29
CRC	75
CRC	182
CRC	71
CRC	17
CRC	51
CRC	42
CRC	41
CRC	30
CRC	24
CRC	30
CRC	16
CRC	119
CRC	89
CRC	29
CRC	71
CRC	70
CRC	94
CRC	43
CRC	158
CRC	50
CRC	23
CRC	82
CRC	25
CRC	106
CRC	54
CRC	128
CRC	108
CRC	34
CRC	10
CRC	29
CRC	22
CRC	160
CRC	98
CRC	101
CRC	154
CRC	220
CRC	57
CRC	9
CRC	21
CRC	308
CRC	137
CRC	33
CRC	74
CRC	67
CRC	33
CRC	42
CRC	49
CRC	140
CRC	21
CRC	33
CRC	102
CRC	15
CRC	62
CRC	189
CRC	54
CRC	64
CRC	91
CRC	253
CRC	73
CRC	129
CRC	84
CRC	55
CRC	111
CRC	140
CRC	46
CRC	12
CRC	102
CRC	36
CRC	45
CRC	325
CRC	38
CRC	37
CRC	145
CRC	62
CRC	33
CRC	138
CRC	90
CRC	43
CRC	27
CRC	14
CRC	88
CRC	25
CRC	107
CRC	155
CRC	23
CRC	32
CRC	97
CRC	24
CRC	330
CRC	95
CRC	61
CRC	145
CRC	27
CRC	102
CRC	31
CRC	35
CRC	60
CRC	84
CRC	41
CRC	50
CRC	28
CRC	75
CRC	275
CRC	36
CRC	55
CRC	53
CRC	13
CRC	98
CRC	30
CRC	38
CRC	30
CRC	94
CRC	28
CRC	28
CRC	54
CRC	73
CRC	139
CRC	27
CRC	105
CRC	100
CRC	55
CRC	51
CRC	69
CRC	57
CRC	30
CRC	35
CRC	85
CRC	61
CRC	69
CRC	128
CRC	56
CRC	82
CRC	15
CRC	35
CRC	50
CRC	10
CRC	355
CRC	138
CRC	54
CRC	6
CRC	134
CRC	10
CRC	183
CRC	18
CRC	43
CRC	12
CRC	199
CRC	44
CRC	17
CRC	153
CRC	141
CRC	11
CRC	100
CRC	22
CRC	79
CRC	95
CRC	123
CRC	39
CRC	37
CRC	222
CRC	95
CRC	31
CRC	16
CRC	34
CRC	43
CRC	18
CRC	99
CRC	62
CRC	126
CRC	19
CRC	39
CRC	27
CRC	100
CRC	152
CRC	16
CRC	39
CRC	13
CRC	77
CRC	88
CRC	77
CRC	26
CRC	69
CRC	64
CRC	88
CRC	61
CRC	108
CRC	187
CRC	36
CRC	56
CRC	36
CRC	213
CRC	32
CRC	98
CRC	19
CRC	37
CRC	155
CRC	29
CRC	57
CRC	48
CRC	85
CRC	165
CRC	24
CRC	5
CRC	14
CRC	14
CRC	107
CRC	53
CRC	162
CRC	19
CRC	19
CRC	253
CRC	11
CRC	188
CRC	124
CRC	44
CRC	150
CRC	19
CRC	129
CRC	28
CRC	189
CRC	43
CRC	24
CRC	19
CRC	42
CRC	23
CRC	89
CRC	12
CRC	148
CRC	127
CRC	102
CRC	57
CRC	24
CRC	3
CRC	17
CRC	106
CRC	70
CRC	74
CRC	55
CRC	58
CRC	50
CRC	33
CRC	120
CRC	20
CRC	3
CRC	23
CRC	64
CRC	64
CRC	15
CRC	18
CRC	191
CRC	13
CRC	127
CRC	134
CRC	69
CRC	46
CRC	46
CRC	85
CRC	65
CRC	127
CRC	44
CRC	44
CRC	14
CRC	41
CRC	25
CRC	54
CRC	148
CRC	95
CRC	141
CRC	37
CRC	105
CRC	160
CRC	36
CRC	126
CRC	117
CRC	29
CRC	18
CRC	40
CRC	20
CRC	44
CRC	12
CRC	31
CRC	61
CRC	125
CRC	76
CRC	15
CRC	160
CRC	68
CRC	203
CRC	12
CRC	95
CRC	134
CRC	67
CRC	114
CRC	81
CRC	20
CRC	46
CRC	152
CRC	70
CRC	43
CRC	54
CRC	28
CRC	168
CRC	48
CRC	38
CRC	33
CRC	75
CRC	55
CRC	20
CRC	15
CRC	139
CRC	99
CRC	43
CRC	39
CRC	166
CRC	51
CRC	84
CRC	47
CRC	26
CRC	38
CRC	179
CRC	77
CRC	77
CRC	29
CRC	30
CRC	9
CRC	117
CRC	68
CRC	137
CRC	58
CRC	66
CRC	179
CRC	269
CRC	82
CRC	83
CRC	36
CRC	44
CRC	21
CRC	82
CRC	96
CRC	129
CRC	40
CRC	41
CRC	71
CRC	8
CRC	71
CRC	44
CRC	44
CRC	37
CRC	28
CRC	39
CRC	131
CRC	81
CRC	29
CRC	87
CRC	31
CRC	20
CRC	173
CRC	56
CRC	61
CRC	58
CRC	89
CRC	204
CRC	81
CRC	102
CRC	113
CRC	110
CRC	205
CRC	35
CRC	12
CRC	48
CRC	67
CRC	24
CRC	12
CRC	49
