SRR7666346	PT089_P1_A01
SRR7666347	PT089_P1_A02
SRR7666348	PT089_P1_A03
SRR7666349	PT089_P1_A04
SRR7666350	PT089_P1_A05
SRR7666351	PT089_P1_A06
SRR7666352	PT089_P1_A07
SRR7666353	PT089_P1_A08
SRR7666354	PT089_P1_A09
SRR7666355	PT089_P1_A10
SRR7666356	PT089_P1_A11
SRR7666357	PT089_P1_A12
SRR7666358	PT089_P1_B01
SRR7666359	PT089_P1_B02
SRR7666360	PT089_P1_B03
SRR7666361	PT089_P1_B04
SRR7666363	PT089_P1_B06
SRR7666364	PT089_P1_B07
SRR7666365	PT089_P1_B08
SRR7666366	PT089_P1_B09
SRR7666367	PT089_P1_B11
SRR7666368	PT089_P1_B12
SRR7666369	PT089_P1_C01
SRR7666370	PT089_P1_C02
SRR7666371	PT089_P1_C03
SRR7666372	PT089_P1_C04
SRR7666373	PT089_P1_C05
SRR7666374	PT089_P1_C06
SRR7666375	PT089_P1_C07
SRR7666376	PT089_P1_C08
SRR7666377	PT089_P1_C09
SRR7666378	PT089_P1_C10
SRR7666379	PT089_P1_C11
SRR7666381	PT089_P1_D01
SRR7666382	PT089_P1_D02
SRR7666383	PT089_P1_D03
SRR7666384	PT089_P1_D04
SRR7666385	PT089_P1_D05
SRR7666386	PT089_P1_D06
SRR7666387	PT089_P1_D07
SRR7666388	PT089_P1_D08
SRR7666389	PT089_P1_D09
SRR7666398	PT089_P3_B08_S308
SRR7666401	PT089_P3_B12_S312
SRR7666404	PT089_P3_C04_S316
SRR7666409	PT089_P3_D03_S327
SRR7666418	PT089_P3_E04_S340
SRR7666419	PT089_P3_E05_S341
SRR7666422	PT089_P3_E08_S344
SRR7666435	PT089_P3_F11_S359
SRR7666436	PT089_P3_F12_S360
SRR7666445	PT089_P3_G10_S370
SRR7666454	PT089_P3_H11_S383
SRR7666455	PT089_P3_H12_S384
SRR7666456	PT089_P7_A01_S1
SRR7666457	PT089_P7_A02_S2
SRR7666458	PT089_P7_A03_S3
SRR7666459	PT089_P7_A04_S4
SRR7666460	PT089_P7_A05_S5
SRR7666461	PT089_P7_A06_S6
